Date,SPY
2013-08-05,137.23670959472656
2013-08-06,136.45687866210938
2013-08-07,136.0146484375
2013-08-08,136.5131072998047
2013-08-09,136.11917114257812
2013-08-12,135.9584197998047
2013-08-13,136.36038208007812
2013-08-14,135.66091918945312
2013-08-15,133.76358032226562
2013-08-16,133.32144165039062
2013-08-19,132.46917724609375
2013-08-20,133.12039184570312
2013-08-21,132.3003692626953
2013-08-22,133.50631713867188
2013-08-23,133.95654296875
2013-08-26,133.45809936523438
2013-08-27,131.31146240234375
2013-08-28,131.7777862548828
2013-08-29,131.98683166503906
2013-08-30,131.5687255859375
2013-09-03,132.1636962890625
2013-09-04,133.25709533691406
2013-09-05,133.42593383789062
2013-09-06,133.4901885986328
2013-09-09,134.76849365234375
2013-09-10,135.76541137695312
2013-09-11,136.1915283203125
2013-09-12,135.82972717285156
2013-09-13,136.13522338867188
2013-09-16,136.9231719970703
2013-09-17,137.53416442871094
2013-09-18,139.12603759765625
2013-09-19,138.8927764892578
2013-09-20,137.92181396484375
2013-09-23,137.28359985351562
2013-09-24,136.9604034423828
2013-09-25,136.56455993652344
2013-09-26,137.08966064453125
2013-09-27,136.45948791503906
2013-09-30,135.73239135742188
2013-10-01,136.80694580078125
2013-10-02,136.67759704589844
2013-10-03,135.41732788085938
2013-10-04,136.443359375
2013-10-07,135.26390075683594
2013-10-08,133.6884765625
2013-10-09,133.7854766845703
2013-10-10,136.6696014404297
2013-10-11,137.55014038085938
2013-10-14,138.0995635986328
2013-10-15,137.0977020263672
2013-10-16,139.01246643066406
2013-10-17,139.94151306152344
2013-10-18,140.88674926757812
2013-10-21,140.8948516845703
2013-10-22,141.71078491210938
2013-10-23,141.03216552734375
2013-10-24,141.50074768066406
2013-10-25,142.1470184326172
2013-10-28,142.37322998046875
2013-10-29,143.13267517089844
2013-10-30,142.42166137695312
2013-10-31,142.0177459716797
2013-11-01,142.3571014404297
2013-11-04,142.85794067382812
2013-11-05,142.40553283691406
2013-11-06,143.13267517089844
2013-11-07,141.32293701171875
2013-11-08,143.2295684814453
2013-11-11,143.25384521484375
2013-11-12,142.9629669189453
2013-11-13,144.11019897460938
2013-11-14,144.82920837402344
2013-11-15,145.4593505859375
2013-11-18,144.9503936767578
2013-11-19,144.63528442382812
2013-11-20,144.18284606933594
2013-11-21,145.34622192382812
2013-11-22,146.07334899902344
2013-11-25,145.92791748046875
2013-11-26,145.96832275390625
2013-11-27,146.3237762451172
2013-11-29,146.22683715820312
2013-12-02,145.84713745117188
2013-12-03,145.21694946289062
2013-12-04,145.2008056640625
2013-12-05,144.56259155273438
2013-12-06,146.17835998535156
2013-12-09,146.5499725341797
2013-12-10,146.02487182617188
2013-12-11,144.38485717773438
2013-12-12,143.908203125
2013-12-13,143.89202880859375
2013-12-16,144.78880310058594
2013-12-17,144.3283233642578
2013-12-18,146.79234313964844
2013-12-19,146.62269592285156
2013-12-20,147.4755859375
2013-12-23,148.2634735107422
2013-12-24,148.58836364746094
2013-12-26,149.34381103515625
2013-12-27,149.3356475830078
2013-12-30,149.31130981445312
2013-12-31,150.0179901123047
2014-01-02,148.5802459716797
2014-01-03,148.55584716796875
2014-01-06,148.1254425048828
2014-01-07,149.03514099121094
2014-01-08,149.06761169433594
2014-01-09,149.16510009765625
2014-01-10,149.5712127685547
2014-01-13,147.5812225341797
2014-01-14,149.18946838378906
2014-01-15,149.99363708496094
2014-01-16,149.79864501953125
2014-01-17,149.16510009765625
2014-01-21,149.60377502441406
2014-01-22,149.70118713378906
2014-01-23,148.47467041015625
2014-01-24,145.3068084716797
2014-01-27,144.592041015625
2014-01-28,145.45309448242188
2014-01-29,144.055908203125
2014-01-30,145.5830078125
2014-01-31,144.73013305664062
2014-02-03,141.47296142578125
2014-02-04,142.4639129638672
2014-02-05,142.28521728515625
2014-02-06,144.1614990234375
2014-02-07,145.94854736328125
2014-02-10,146.216552734375
2014-02-11,147.81668090820312
2014-02-12,147.88980102539062
2014-02-13,148.6533660888672
2014-02-14,149.47377014160156
2014-02-18,149.65245056152344
2014-02-19,148.66156005859375
2014-02-20,149.53875732421875
2014-02-21,149.36813354492188
2014-02-24,150.1966552734375
2014-02-25,150.13980102539062
2014-02-26,150.14794921875
2014-02-27,150.935791015625
2014-02-28,151.31761169433594
2014-03-03,150.25352478027344
2014-03-04,152.36544799804688
2014-03-05,152.50357055664062
2014-03-06,152.85281372070312
2014-03-07,152.91778564453125
